toponimo	provincia	lon	lat
flensburg	stadt (SH)	9.43751	54.78252
kiel	stadt (SH)	10.13727	54.321775
lübeck	stadt (SH)	10.683932	53.866269
neumünster	stadt (SH)	9.988422	54.069895
brunsbüttel	stadt (SH)	9.13735	53.896932
heide	stadt (SH)	9.091156	54.193962
averlak	gemeinde (SH)	9.182663	53.941154
brickeln	gemeinde (SH)	9.221166	54.00849
buchholz	gemeinde (SH)	9.223774	53.987132
burg (dithmarschen)	gemeinde (SH)	9.26246	53.99748
dingen	gemeinde (SH)	9.125804	53.960888
eddelak	gemeinde (SH)	9.137433	53.945888
eggstedt	gemeinde (SH)	9.25927	54.054535
frestedt	gemeinde (SH)	9.176133	54.023523
großenrade	gemeinde (SH)	9.223435	54.02206
hochdonn	gemeinde (SH)	9.293145	54.019564
kuden	gemeinde (SH)	9.192822	53.967853
quickborn	gemeinde (SH)	9.206506	54.010081
sankt michaelisdonn	gemeinde (SH)	9.121257	53.994807
süderhastedt	gemeinde (SH)	9.20886	54.04991
diekhusen-fahrstedt	gemeinde (SH)	9.023165	53.946249
friedrichskoog	gemeinde (SH)	8.88014	54.005842
helse	gemeinde (SH)	9.010226	53.977556
kaiser-wilhelm-koog	gemeinde (SH)	8.926364	53.942933
kronprinzenkoog	gemeinde (SH)	8.964528	53.97171
marne	stadt (SH)	9.008761	53.953695
marnerdeich	gemeinde (SH)	8.982956	53.948483
neufeld	gemeinde (SH)	9.017576	53.907495
neufelderkoog	gemeinde (SH)	8.968827	53.906958
ramhusen	gemeinde (SH)	9.090658	53.941207
schmedeswurth	gemeinde (SH)	9.040335	53.926172
trennewurth	gemeinde (SH)	9.025792	54.000236
volsemenhusen	gemeinde (SH)	9.065625	53.967901
barkenholm	gemeinde (SH)	9.174339	54.237387
bergewöhrden	gemeinde (SH)	9.209426	54.318469
dellstedt	gemeinde (SH)	9.369143	54.237892
delve	gemeinde (SH)	9.252365	54.303978
dörpling	gemeinde (SH)	9.301925	54.260654
fedderingen	gemeinde (SH)	9.132642	54.281144
gaushorn	gemeinde (SH)	9.225318	54.194896
glüsing	gemeinde (SH)	9.216421	54.274547
groven	gemeinde (SH)	8.9891470000000009	54.300165
hemme	gemeinde (SH)	9.010966	54.28021
hennstedt	gemeinde (SH)	9.168248	54.283636
hövede	gemeinde (SH)	9.293409	54.243806
hollingstedt	gemeinde (SH)	9.226797	54.290548
karolinenkoog	gemeinde (SH)	8.965495	54.292554
kleve	gemeinde (SH)	9.123229	54.295706
krempel	gemeinde (SH)	9.027607	54.320019
lehe	gemeinde (SH)	9.025334	54.344168
linden	gemeinde (SH)	9.182428	54.252623
lunden	gemeinde (SH)	9.024249	54.330568
norderheistedt	gemeinde (SH)	9.146139	54.245331
pahlen	gemeinde (SH)	9.296387	54.267813
rehm-flehde-bargen	gemeinde (SH)	9.036287	54.303981
sankt annen	gemeinde (SH)	9.07975	54.345413
schalkholz	gemeinde (SH)	9.257028	54.246244
schlichting	gemeinde (SH)	9.089378	54.31014
tellingstedt	gemeinde (SH)	9.2822	54.219944
tielenhemme	gemeinde (SH)	9.398414	54.27746
wallen	gemeinde (SH)	9.269563	54.284766
welmbüttel	gemeinde (SH)	9.246826	54.196873
westerborstel	gemeinde (SH)	9.260601	54.220127
wiemerstedt	gemeinde (SH)	9.11111	54.269259
wrohm	gemeinde (SH)	9.379505	54.212642
süderdorf	gemeinde (SH)	9.343678	54.220732
süderheistedt	gemeinde (SH)	9.148463	54.23483
